trait_index,differential,left_pole,right_pole,care,fairness,loyalty,authority,purity,liberty,general,notes
1,playful :: serious,playful,serious,0,0,0,0,0,0,0,
2,shy :: bold,shy,bold,0,0,0,0,0,1,0,
3,cheery :: sorrowful,cheery,sorrowful,0,0,0,0,0,0,0,
4,masculine :: feminine,masculine,feminine,0,0,0,0,0,0,0,
5,charming :: awkward,charming,awkward,0,0,0,0,0,0,0,
6,lewd :: tasteful,lewd,tasteful,0,0,0,0,1,0,0,
7,intellectual :: physical,intellectual,physical,0,0,0,0,0,0,0,
8,strict :: lenient,strict,lenient,0,0,0,1,1,0,0,
9,refined :: rugged,refined,rugged,0,0,0,0,1,0,0,
10,trusting :: suspicious,trusting,suspicious,1,0,1,0,0,0,0,
11,innocent :: worldly,innocent,worldly,0,0,0,0,0,0,0,
12,artistic :: scientific,artistic,scientific,0,0,0,0,0,0,0,
13,stoic :: expressive,stoic,expressive,1,0,0,0,0,0,0,
14,cunning :: honorable,cunning,honorable,0,0,1,0,0,0,0,
15,orderly :: chaotic,orderly,chaotic,0,0,0,1,0,0,0,
16,normal :: weird,normal,weird,0,0,0,0,1,0,0,
17,competitive :: cooperative,competitive,cooperative,0,1,1,0,0,0,0,
18,tense :: relaxed,tense,relaxed,0,0,0,0,0,1,0,
19,brave :: careful,brave,careful,0,0,0,0,0,1,0,
20,spiritual :: skeptical,spiritual,skeptical,0,0,0,0,1,0,0,
21,unlucky :: fortunate,unlucky,fortunate,0,1,0,0,0,0,0,
22,ferocious :: pacifist,ferocious,pacifist,0,0,0,0,0,1,0,
23,modest :: flamboyant,modest,flamboyant,0,0,0,0,1,0,0,
24,dominant :: submissive,dominant,submissive,0,0,0,1,0,0,0,
25,forgiving :: vengeful,forgiving,vengeful,1,0,0,0,0,1,0,
26,wise :: foolish,wise,foolish,0,0,0,0,0,0,0,
27,impulsive :: cautious,impulsive,cautious,0,0,0,0,1,0,0,
28,loyal :: traitorous,loyal,traitorous,0,0,1,0,0,0,0,
29,creative :: conventional,creative,conventional,0,0,0,1,0,0,0,
30,curious :: apathetic,curious,apathetic,0,0,0,0,0,1,0,
31,rude :: respectful,rude,respectful,0,0,0,1,0,0,0,
32,diligent :: lazy,diligent,lazy,0,0,0,0,1,0,0,
33,lustful :: chaste,lustful,chaste,0,0,0,0,1,0,0,
34,chatty :: reserved,chatty,reserved,0,0,0,0,0,0,0,
35,emotional :: logical,emotional,logical,0,0,0,0,0,0,0,
36,moody :: stable,moody,stable,0,0,0,0,0,0,0,
37,dunce :: genius,dunce,genius,0,0,0,0,0,0,0,
38,arrogant :: humble,arrogant,humble,0,0,0,0,0,0,1,
39,heroic :: villainous,heroic,villainous,0,0,0,0,0,0,1,
40,attractive :: repulsive,attractive,repulsive,0,0,0,0,1,0,0,
41,rational :: whimsical,rational,whimsical,0,0,0,0,0,0,0,
42,mischievous :: well behaved,mischievous,well behaved,0,0,0,1,1,0,0,
43,aloof :: obsessed,aloof,obsessed,1,0,0,0,0,0,0,
44,indulgent :: sober,indulgent,sober,0,0,0,0,1,0,0,
45,kinky :: vanilla,kinky,vanilla,0,0,0,0,1,0,0,
46,straightforward :: cryptic,straightforward,cryptic,0,0,0,0,0,0,0,
47,spontaneous :: deliberate,spontaneous,deliberate,0,0,0,0,0,0,0,
48,libertarian :: socialist,libertarian,socialist,0,0,0,0,0,1,0,
49,scheduled :: spontaneous,scheduled,spontaneous,0,0,0,0,0,0,0,
50,works hard :: plays hard,works hard,plays hard,0,0,0,0,0,0,0,
51,reasoned :: instinctual,reasoned,instinctual,0,1,0,0,0,0,0,
52,focused on the present :: focused on the future,focused on the present,focused on the future,0,0,0,1,0,0,0,
