trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
1	playful :: serious	playful	serious								
2	shy :: bold	shy	bold								
3	cheery :: sorrowful	cheery	sorrowful								
4	masculine :: feminine	masculine	feminine								
5	charming :: awkward	charming	awkward								
6	lewd :: tasteful	lewd	tasteful								
7	intellectual :: physical	intellectual	physical								
8	strict :: lenient	strict	lenient								
9	refined :: rugged	refined	rugged								
10	trusting :: suspicious	trusting	suspicious								
11	innocent :: worldly	innocent	worldly								
12	artistic :: scientific	artistic	scientific								
13	stoic :: expressive	stoic	expressive								
14	cunning :: honorable	cunning	honorable								
15	orderly :: chaotic	orderly	chaotic								
16	normal :: weird	normal	weird								
17	competitive :: cooperative	competitive	cooperative								
18	tense :: relaxed	tense	relaxed								
19	brave :: careful	brave	careful								
20	spiritual :: skeptical	spiritual	skeptical								
21	unlucky :: fortunate	unlucky	fortunate								
22	ferocious :: pacifist	ferocious	pacifist								
23	modest :: flamboyant	modest	flamboyant								
24	dominant :: submissive	dominant	submissive								
25	forgiving :: vengeful	forgiving	vengeful								
26	wise :: foolish	wise	foolish								
27	impulsive :: cautious	impulsive	cautious								
28	loyal :: traitorous	loyal	traitorous								
29	creative :: conventional	creative	conventional								
30	curious :: apathetic	curious	apathetic								
31	rude :: respectful	rude	respectful								
32	diligent :: lazy	diligent	lazy								
33	lustful :: chaste	lustful	chaste								
34	chatty :: reserved	chatty	reserved								
35	emotional :: logical	emotional	logical								
36	moody :: stable	moody	stable								
37	dunce :: genius	dunce	genius								
38	arrogant :: humble	arrogant	humble								
39	heroic :: villainous	heroic	villainous								
40	attractive :: repulsive	attractive	repulsive								
41	rational :: whimsical	rational	whimsical								
42	mischievous :: well behaved	mischievous	well behaved								
43	aloof :: obsessed	aloof	obsessed								
44	indulgent :: sober	indulgent	sober								
45	kinky :: vanilla	kinky	vanilla								
46	straightforward :: cryptic	straightforward	cryptic								
47	spontaneous :: deliberate	spontaneous	deliberate								
48	libertarian :: socialist	libertarian	socialist								
49	scheduled :: spontaneous	scheduled	spontaneous								
50	works hard :: plays hard	works hard	plays hard								
51	reasoned :: instinctual	reasoned	instinctual								
52	focused on the present :: focused on the future	focused on the present	focused on the future								
53	empirical :: theoretical	empirical	theoretical								
54	open :: guarded	open	guarded								
55	methodical :: astonishing	methodical	astonishing								
56	mighty :: puny	mighty	puny								
57	bossy :: meek	bossy	meek								
58	barbaric :: civilized	barbaric	civilized								
59	gregarious :: private	gregarious	private								
60	quiet :: loud	quiet	loud								
61	political :: nonpolitical	political	nonpolitical								
62	confident :: insecure	confident	insecure								
63	democratic :: authoritarian	democratic	authoritarian								
64	debased :: pure	debased	pure								
65	fast :: slow	fast	slow								
66	frugal :: lavish	frugal	lavish								
67	ludicrous :: sensible	ludicrous	sensible								
68	orange :: purple	orange	purple								
69	tall :: short	tall	short								
70	young :: old	young	old								
71	down2earth :: head@clouds	down2earth	head@clouds								
72	extrovert :: introvert	extrovert	introvert								
73	open to new experiences :: uncreative	open to new experiences	uncreative								
74	calm :: anxious	calm	anxious								
75	disorganized :: self-disciplined	disorganized	self-disciplined								
76	quarrelsome :: warm	quarrelsome	warm								
77	nerd :: jock	nerd	jock								
78	lowbrow :: highbrow	lowbrow	highbrow								
79	selfish :: altruistic	selfish	altruistic								
80	autistic :: neurotypical	autistic	neurotypical								
81	angelic :: demonic	angelic	demonic								
82	hesitant :: decisive	hesitant	decisive								
83	devout :: heathen	devout	heathen								
84	cruel :: kind	cruel	kind								
85	direct :: roundabout	direct	roundabout								
86	mathematical :: literary	mathematical	literary								
87	blue-collar :: ivory-tower	blue-collar	ivory-tower								
88	slovenly :: stylish	slovenly	stylish								
89	playful :: shy	playful	shy								
90	serious :: bold	serious	bold								
91	charming :: trusting	charming	trusting								
92	awkward :: suspicious	awkward	suspicious								
93	hipster :: basic	hipster	basic								
94	coordinated :: clumsy	coordinated	clumsy								
95	funny :: humorless	funny	humorless								
96	politically correct :: edgy	politically correct	edgy								
97	rich :: poor	rich	poor								
98	hard :: soft	hard	soft								
99	remote :: involved	remote	involved								
100	metaphorical :: literal	metaphorical	literal								
101	biased :: impartial	biased	impartial								
102	mundane :: extraordinary	mundane	extraordinary								
103	tiresome :: interesting	tiresome	interesting								
104	smooth :: rough	smooth	rough								
105	spicy :: mild	spicy	mild								
106	enslaved :: emancipated	enslaved	emancipated								
107	optimistic :: pessimistic	optimistic	pessimistic								
108	sickly :: healthy	sickly	healthy								
109	luddite :: technophile	luddite	technophile								
110	vain :: demure	vain	demure								
111	high-tech :: low-tech	high-tech	low-tech								
112	flexible :: rigid	flexible	rigid								
113	cosmopolitan :: provincial	cosmopolitan	provincial								
114	arcane :: mainstream	arcane	mainstream								
115	outlaw :: sheriff	outlaw	sheriff								
116	pronatalist :: child free	pronatalist	child free								
117	sad :: happy	sad	happy								
118	jealous :: compersive	jealous	compersive								
119	bitter :: sweet	bitter	sweet								
120	resigned :: resistant	resigned	resistant								
121	sarcastic :: genuine	sarcastic	genuine								
122	human :: animalistic	human	animalistic								
123	sporty :: bookish	sporty	bookish								
124	moderate :: extreme	moderate	extreme								
125	angry :: good-humored	angry	good-humored								
126	depressed :: bright	depressed	bright								
127	self-conscious :: self-assured	self-conscious	self-assured								
128	vulnerable :: armoured	vulnerable	armoured								
129	warm :: cold	warm	cold								
130	assertive :: passive	assertive	passive								
131	active :: slothful	active	slothful								
132	imaginative :: practical	imaginative	practical								
133	adventurous :: stick-in-the-mud	adventurous	stick-in-the-mud								
134	obedient :: rebellious	obedient	rebellious								
135	competent :: incompetent	competent	incompetent								
136	unambitious :: driven	unambitious	driven								
137	simple :: complicated	simple	complicated								
138	proletariat :: bourgeoisie	proletariat	bourgeoisie								
139	alpha :: beta	alpha	beta								
140	right-brained :: left-brained	right-brained	left-brained								
141	thick-skinned :: sensitive	thick-skinned	sensitive								
142	charismatic :: uninspiring	charismatic	uninspiring								
143	feisty :: gracious	feisty	gracious								
144	eloquent :: unpolished	eloquent	unpolished								
145	high IQ :: low IQ	high IQ	low IQ								
146	insider :: outsider	insider	outsider								
147	morning lark :: night owl	morning lark	night owl								
148	thin :: thick	thin	thick								
149	sheeple :: conspiracist	sheeple	conspiracist								
150	neat :: messy	neat	messy								
151	vague :: precise	vague	precise								
152	philosophical :: real	philosophical	real								
153	modern :: historical	modern	historical								
