trait_index	differential	left_pole	right_pole
1	playful :: serious	playful	serious
2	shy :: bold	shy	bold
3	cheery :: sorrowful	cheery	sorrowful
4	masculine :: feminine	masculine	feminine
5	charming :: awkward	charming	awkward
6	lewd :: tasteful	lewd	tasteful
7	intellectual :: physical	intellectual	physical
8	strict :: lenient	strict	lenient
9	refined :: rugged	refined	rugged
10	trusting :: suspicious	trusting	suspicious
11	innocent :: worldly	innocent	worldly
12	artistic :: scientific	artistic	scientific
13	stoic :: expressive	stoic	expressive
14	cunning :: honorable	cunning	honorable
15	orderly :: chaotic	orderly	chaotic
16	normal :: weird	normal	weird
17	competitive :: cooperative	competitive	cooperative
18	tense :: relaxed	tense	relaxed
19	brave :: careful	brave	careful
20	spiritual :: skeptical	spiritual	skeptical
21	unlucky :: fortunate	unlucky	fortunate
22	ferocious :: pacifist	ferocious	pacifist
23	modest :: flamboyant	modest	flamboyant
24	dominant :: submissive	dominant	submissive
25	forgiving :: vengeful	forgiving	vengeful
