batch_file	start_trait_index	end_trait_index	n_traits
batch_001.tsv	1	25	25
batch_002.tsv	26	50	25
batch_003.tsv	51	75	25
batch_004.tsv	76	100	25
batch_005.tsv	101	125	25
batch_006.tsv	126	150	25
batch_007.tsv	151	175	25
batch_008.tsv	176	200	25
batch_009.tsv	201	225	25
batch_010.tsv	226	250	25
batch_011.tsv	251	275	25
batch_012.tsv	276	300	25
batch_013.tsv	301	325	25
batch_014.tsv	326	350	25
batch_015.tsv	351	375	25
batch_016.tsv	376	400	25
batch_017.tsv	401	425	25
batch_018.tsv	426	450	25
batch_019.tsv	451	464	14
