trait_index	differential	agreed foundation	divergence
6	lewd :: tasteful	purity	general (claude_claude-sonnet-4-6 only)
8	strict :: lenient	authority	
9	refined :: rugged	purity	
10	trusting :: suspicious		fairness (claude_claude-sonnet-4-6 only)
11	innocent :: worldly	purity	
14	cunning :: honorable	fairness, authority	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
15	orderly :: chaotic	authority	purity (deepseek_deepseek-v4-flash only)
16	normal :: weird		loyalty (gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only)
17	competitive :: cooperative		fairness (claude_claude-sonnet-4-6 only), loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
19	brave :: careful		care (gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6 only)
20	spiritual :: skeptical	purity	general (gemini_gemini-2.5-flash only)
22	ferocious :: pacifist	care	
23	modest :: flamboyant	purity	
24	dominant :: submissive	authority	liberty (claude_claude-sonnet-4-6 only)
25	forgiving :: vengeful	care, fairness	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
26	wise :: foolish	general	
27	impulsive :: cautious		care (gemini_gemini-2.5-flash only)
28	loyal :: traitorous	loyalty, authority	
29	creative :: conventional		authority (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
30	curious :: apathetic		care (gemini_gemini-2.5-flash only)
31	rude :: respectful	authority	care (claude_claude-sonnet-4-6 only)
32	diligent :: lazy	purity	authority (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
33	lustful :: chaste	purity	
35	emotional :: logical		fairness (gemini_gemini-2.5-flash only)
36	moody :: stable		purity (gemini_gemini-2.5-flash only)
38	arrogant :: humble		authority (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), purity (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
39	heroic :: villainous	general	care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only), purity (gemini_gemini-2.5-flash only), liberty (gemini_gemini-2.5-flash only)
40	attractive :: repulsive	purity	
41	rational :: whimsical		fairness (gemini_gemini-2.5-flash only)
42	mischievous :: well behaved	authority	care (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
43	aloof :: obsessed		care (gemini_gemini-2.5-flash only)
44	indulgent :: sober	purity	
45	kinky :: vanilla	purity	liberty (claude_claude-sonnet-4-6 only)
46	straightforward :: cryptic	fairness	loyalty (gemini_gemini-2.5-flash only), general (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
48	libertarian :: socialist	liberty	care (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), loyalty (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), authority (gemini_gemini-2.5-flash only)
49	scheduled :: spontaneous		authority (deepseek_deepseek-v4-flash only)
50	works hard :: plays hard	purity	authority (gemini_gemini-2.5-flash only), general (gemini_gemini-2.5-flash only)
57	bossy :: meek	authority, liberty	
58	barbaric :: civilized	care, authority, purity	general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
63	democratic :: authoritarian	fairness, authority, liberty	
64	debased :: pure	purity	general (gemini_gemini-2.5-flash only)
66	frugal :: lavish	purity	
75	disorganized :: self-disciplined	purity	
76	quarrelsome :: warm	care	general (gemini_gemini-2.5-flash only)
78	lowbrow :: highbrow		purity (deepseek_deepseek-v4-flash, gemini_gemini-2.5-flash only)
79	selfish :: altruistic	care	fairness (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only), loyalty (gemini_gemini-2.5-flash only), general (claude_claude-sonnet-4-6, gemini_gemini-2.5-flash only)
