index	character	character in latex	character/story	character/story in latex	card url
1	Leroy Jethro Gibbs	Leroy Jethro Gibbs	Leroy Jethro Gibbs/NCIS	Leroy Jethro Gibbs/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Leroy-Jethro-Gibbs-0800-235-090.pdf
2	Anthony DiNozzo	Anthony DiNozzo	Anthony DiNozzo/NCIS	Anthony DiNozzo/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Anthony-DiNozzo-0800-235-090.pdf
3	Abby Sciuto	Abby Sciuto	Abby Sciuto/NCIS	Abby Sciuto/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Abby-Sciuto-0800-235-090.pdf
4	Donald Mallard	Donald Mallard	Donald Mallard/NCIS	Donald Mallard/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Donald-Mallard-0800-235-090.pdf
5	Timothy McGee	Timothy McGee	Timothy McGee/NCIS	Timothy McGee/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Timothy-McGee-0800-235-090.pdf
6	Jimmy Palmer	Jimmy Palmer	Jimmy Palmer/NCIS	Jimmy Palmer/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Jimmy-Palmer-0800-235-090.pdf
7	Rick Grimes	Rick Grimes	Rick Grimes/The Walking Dead	Rick Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Rick-Grimes-0800-235-090.pdf
8	Shane Walsh	Shane Walsh	Shane Walsh/The Walking Dead	Shane Walsh/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Shane-Walsh-0800-235-090.pdf
9	Lori Grimes	Lori Grimes	Lori Grimes/The Walking Dead	Lori Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Lori-Grimes-0800-235-090.pdf
10	Andrea	Andrea	Andrea/The Walking Dead	Andrea/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Andrea-0800-235-090.pdf
11	Dale Horvath	Dale Horvath	Dale Horvath/The Walking Dead	Dale Horvath/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Dale-Horvath-0800-235-090.pdf
12	Glenn Rhee	Glenn Rhee	Glenn Rhee/The Walking Dead	Glenn Rhee/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Glenn-Rhee-0800-235-090.pdf
13	Carl Grimes	Carl Grimes	Carl Grimes/The Walking Dead	Carl Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Carl-Grimes-0800-235-090.pdf
14	Daryl Dixon	Daryl Dixon	Daryl Dixon/The Walking Dead	Daryl Dixon/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Daryl-Dixon-0800-235-090.pdf
15	Carol Peletier	Carol Peletier	Carol Peletier/The Walking Dead	Carol Peletier/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Carol-Peletier-0800-235-090.pdf
16	Merle Dixon	Merle Dixon	Merle Dixon/The Walking Dead	Merle Dixon/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Merle-Dixon-0800-235-090.pdf
17	Walter White	Walter White	Walter White/Breaking Bad	Walter White/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Walter-White-0800-235-090.pdf
18	Skyler White	Skyler White	Skyler White/Breaking Bad	Skyler White/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Skyler-White-0800-235-090.pdf
19	Jesse Pinkman	Jesse Pinkman	Jesse Pinkman/Breaking Bad	Jesse Pinkman/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Jesse-Pinkman-0800-235-090.pdf
20	Hank Schrader	Hank Schrader	Hank Schrader/Breaking Bad	Hank Schrader/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Hank-Schrader-0800-235-090.pdf
21	Marie Schrader	Marie Schrader	Marie Schrader/Breaking Bad	Marie Schrader/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Marie-Schrader-0800-235-090.pdf
