1	10 Things I Hate About You	Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-1600-364-241.pdf
2	30 Rock	The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-1600-364-241.pdf
3	500 Days of Summer	White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-1600-364-241.pdf
4	A Nightmare on Elm Street	The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-1600-364-241.pdf
5	Agents of S.H.I.E.L.D.	Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-1600-364-241.pdf
6	Aladdin	Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-1600-364-241.pdf
7	Alien	Gone Girl	https://compstorylab.org/archetypometrics/cards/Gone-Girl-1600-364-241.pdf
8	American History X	The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-1600-364-241.pdf
9	Anna Karenina	Jennifer's Body	https://compstorylab.org/archetypometrics/cards/Jennifers-Body-1600-364-241.pdf
10	Archer	Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-1600-364-241.pdf
11	Arrested Development	Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-1600-364-241.pdf
12	Arrow	Baywatch	https://compstorylab.org/archetypometrics/cards/Baywatch-1600-364-241.pdf
13	Atlas Shrugged	Space Force	https://compstorylab.org/archetypometrics/cards/Space-Force-1600-364-241.pdf
14	Avatar: The Last Airbender	Hamilton	https://compstorylab.org/archetypometrics/cards/Hamilton-1600-364-241.pdf
15	Back to the Future	The Good Place	https://compstorylab.org/archetypometrics/cards/The-Good-Place-1600-364-241.pdf
16	Battlestar Galactica	House, M.D.	https://compstorylab.org/archetypometrics/cards/House-MD-1600-364-241.pdf
17	Baywatch	The Great Gatsby	https://compstorylab.org/archetypometrics/cards/The-Great-Gatsby-1600-364-241.pdf
18	Beauty and the Beast	The Godfather	https://compstorylab.org/archetypometrics/cards/The-Godfather-1600-364-241.pdf
19	Before Sunrise	Two and a Half Men	https://compstorylab.org/archetypometrics/cards/Two-and-a-Half-Men-1600-364-241.pdf
20	Better Call Saul	Ghostbusters	https://compstorylab.org/archetypometrics/cards/Ghostbusters-1600-364-241.pdf
21	Black Swan	Grey's Anatomy	https://compstorylab.org/archetypometrics/cards/Greys-Anatomy-1600-364-241.pdf
22	Bloodline	Get Out	https://compstorylab.org/archetypometrics/cards/Get-Out-1600-364-241.pdf
23	Blue Bloods	Atlas Shrugged	https://compstorylab.org/archetypometrics/cards/Atlas-Shrugged-1600-364-241.pdf
24	Bob's Burgers	Criminal Minds	https://compstorylab.org/archetypometrics/cards/Criminal-Minds-1600-364-241.pdf
25	Bones	Lord of the Rings	https://compstorylab.org/archetypometrics/cards/Lord-of-the-Rings-1600-364-241.pdf
26	Booksmart	That 70's Show	https://compstorylab.org/archetypometrics/cards/That-70s-Show-1600-364-241.pdf
27	Boston Legal	Dr. Horrible's Sing-Along Blog	https://compstorylab.org/archetypometrics/cards/Dr-Horribles-Sing-Along-Blog-1600-364-241.pdf
28	Breaking Bad	American History X	https://compstorylab.org/archetypometrics/cards/American-History-X-1600-364-241.pdf
29	Brooklyn Nine-Nine	The Silence of the Lambs	https://compstorylab.org/archetypometrics/cards/The-Silence-of-the-Lambs-1600-364-241.pdf
30	Buffy the Vampire Slayer	Raiders of the Lost Ark	https://compstorylab.org/archetypometrics/cards/Raiders-of-the-Lost-Ark-1600-364-241.pdf
31	CSI: Crime Scene Investigation	The Good, the Bad, and the Ugly	https://compstorylab.org/archetypometrics/cards/The-Good-the-Bad-and-the-Ugly-1600-364-241.pdf
32	Calvin and Hobbes	Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-1600-364-241.pdf
33	Casablanca	Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-1600-364-241.pdf
34	Castle	Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-1600-364-241.pdf
35	Chicago Fire	Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-1600-364-241.pdf
36	Chilling Adventures of Sabrina	Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-1600-364-241.pdf
37	Coco	Pirates of the Caribbean	https://compstorylab.org/archetypometrics/cards/Pirates-of-the-Caribbean-1600-364-241.pdf
38	Community	Penny Arcade	https://compstorylab.org/archetypometrics/cards/Penny-Arcade-1600-364-241.pdf
39	Cowboy Bebop	Pulp Fiction	https://compstorylab.org/archetypometrics/cards/Pulp-Fiction-1600-364-241.pdf
40	Crazy Ex-Girlfriend	Hustlers	https://compstorylab.org/archetypometrics/cards/Hustlers-1600-364-241.pdf
41	Crazy Rich Asians	Pok\'{e}mon	https://compstorylab.org/archetypometrics/cards/Pokemon-1600-364-241.pdf
42	Criminal Minds	The Social Network	https://compstorylab.org/archetypometrics/cards/The-Social-Network-1600-364-241.pdf
43	Ctrl+Alt+Del	Zombieland	https://compstorylab.org/archetypometrics/cards/Zombieland-1600-364-241.pdf
44	Damages	Community	https://compstorylab.org/archetypometrics/cards/Community-1600-364-241.pdf
45	Dark	The Man in the High Castle	https://compstorylab.org/archetypometrics/cards/The-Man-in-the-High-Castle-1600-364-241.pdf
46	Degrassi: The Next Generation	Bloodline	https://compstorylab.org/archetypometrics/cards/Bloodline-1600-364-241.pdf
47	Desperate Housewives	The Simpsons	https://compstorylab.org/archetypometrics/cards/The-Simpsons-1600-364-241.pdf
48	Dexter	Blue Bloods	https://compstorylab.org/archetypometrics/cards/Blue-Bloods-1600-364-241.pdf
49	Downton Abbey	Mean Girls	https://compstorylab.org/archetypometrics/cards/Mean-Girls-1600-364-241.pdf
50	Dr. Horrible's Sing-Along Blog	Modern Family	https://compstorylab.org/archetypometrics/cards/Modern-Family-1600-364-241.pdf
51	Dune	Mad Men	https://compstorylab.org/archetypometrics/cards/Mad-Men-1600-364-241.pdf
52	Elementary	Mindhunter	https://compstorylab.org/archetypometrics/cards/Mindhunter-1600-364-241.pdf
53	Ender's Game	Mulan	https://compstorylab.org/archetypometrics/cards/Mulan-1600-364-241.pdf
54	Entourage	Cowboy Bebop	https://compstorylab.org/archetypometrics/cards/Cowboy-Bebop-1600-364-241.pdf
55	Eternal Sunshine of the Spotless Mind	Psych	https://compstorylab.org/archetypometrics/cards/Psych-1600-364-241.pdf
56	Ex Machina	Mr. Robot	https://compstorylab.org/archetypometrics/cards/Mr-Robot-1600-364-241.pdf
57	Farscape	Frozen	https://compstorylab.org/archetypometrics/cards/Frozen-1600-364-241.pdf
58	Fast & Furious	Firefly + Serenity	https://compstorylab.org/archetypometrics/cards/Firefly--Serenity-1600-364-241.pdf
59	Fight Club	Brooklyn Nine-Nine	https://compstorylab.org/archetypometrics/cards/Brooklyn-Nine-Nine-1600-364-241.pdf
60	Finding Nemo	Smallville	https://compstorylab.org/archetypometrics/cards/Smallville-1600-364-241.pdf
61	Firefly + Serenity	Se7en	https://compstorylab.org/archetypometrics/cards/Se7en-1600-364-241.pdf
62	Fleabag	Good Will Hunting	https://compstorylab.org/archetypometrics/cards/Good-Will-Hunting-1600-364-241.pdf
63	Forrest Gump	Transformers	https://compstorylab.org/archetypometrics/cards/Transformers-1600-364-241.pdf
64	Friday Night Lights	Gone With the Wind	https://compstorylab.org/archetypometrics/cards/Gone-With-the-Wind-1600-364-241.pdf
65	Friends	Fight Club	https://compstorylab.org/archetypometrics/cards/Fight-Club-1600-364-241.pdf
66	Frozen	Fast \& Furious	https://compstorylab.org/archetypometrics/cards/Fast-and-Furious-1600-364-241.pdf
67	Futurama	Forrest Gump	https://compstorylab.org/archetypometrics/cards/Forrest-Gump-1600-364-241.pdf
