index	differential	flipped differential	left pole	right pole	card url
1	playful :: serious	serious :: playful	playful	serious	https://compstorylab.org/archetypometrics/cards/playful--serious-1600-364-241.pdf
2	shy :: bold	bold :: shy	shy	bold	https://compstorylab.org/archetypometrics/cards/shy--bold-1600-364-241.pdf
3	cheery :: sorrowful	sorrowful :: cheery	cheery	sorrowful	https://compstorylab.org/archetypometrics/cards/cheery--sorrowful-1600-364-241.pdf
4	masculine :: feminine	feminine :: masculine	masculine	feminine	https://compstorylab.org/archetypometrics/cards/masculine--feminine-1600-364-241.pdf
5	charming :: awkward	awkward :: charming	charming	awkward	https://compstorylab.org/archetypometrics/cards/charming--awkward-1600-364-241.pdf
6	lewd :: tasteful	tasteful :: lewd	lewd	tasteful	https://compstorylab.org/archetypometrics/cards/lewd--tasteful-1600-364-241.pdf
7	intellectual :: physical	physical :: intellectual	intellectual	physical	https://compstorylab.org/archetypometrics/cards/intellectual--physical-1600-364-241.pdf
8	strict :: lenient	lenient :: strict	strict	lenient	https://compstorylab.org/archetypometrics/cards/strict--lenient-1600-364-241.pdf
9	refined :: rugged	rugged :: refined	refined	rugged	https://compstorylab.org/archetypometrics/cards/refined--rugged-1600-364-241.pdf
10	trusting :: suspicious	suspicious :: trusting	trusting	suspicious	https://compstorylab.org/archetypometrics/cards/trusting--suspicious-1600-364-241.pdf
11	innocent :: worldly	worldly :: innocent	innocent	worldly	https://compstorylab.org/archetypometrics/cards/innocent--worldly-1600-364-241.pdf
12	artistic :: scientific	scientific :: artistic	artistic	scientific	https://compstorylab.org/archetypometrics/cards/artistic--scientific-1600-364-241.pdf
13	stoic :: expressive	expressive :: stoic	stoic	expressive	https://compstorylab.org/archetypometrics/cards/stoic--expressive-1600-364-241.pdf
14	cunning :: honorable	honorable :: cunning	cunning	honorable	https://compstorylab.org/archetypometrics/cards/cunning--honorable-1600-364-241.pdf
15	orderly :: chaotic	chaotic :: orderly	orderly	chaotic	https://compstorylab.org/archetypometrics/cards/orderly--chaotic-1600-364-241.pdf
