index	character	character in latex	character/story	character/story in latex	card url
1	Applejack	Applejack	Applejack/My Little Pony: Friendship Is Magic	Applejack/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Applejack-2000-464-341.pdf
2	Twilight Sparkle	Twilight Sparkle	Twilight Sparkle/My Little Pony: Friendship Is Magic	Twilight Sparkle/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Twilight-Sparkle-2000-464-341.pdf
3	Rarity	Rarity	Rarity/My Little Pony: Friendship Is Magic	Rarity/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Rarity-2000-464-341.pdf
4	Pinkie Pie	Pinkie Pie	Pinkie Pie/My Little Pony: Friendship Is Magic	Pinkie Pie/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Pinkie-Pie-2000-464-341.pdf
5	Spike	Spike	Spike/My Little Pony: Friendship Is Magic	Spike/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Spike-2000-464-341.pdf
6	Princess Celestia	Princess Celestia	Princess Celestia/My Little Pony: Friendship Is Magic	Princess Celestia/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Princess-Celestia-2000-464-341.pdf
7	Leroy Jethro Gibbs	Leroy Jethro Gibbs	Leroy Jethro Gibbs/NCIS	Leroy Jethro Gibbs/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Leroy-Jethro-Gibbs-2000-464-341.pdf
8	Anthony DiNozzo	Anthony DiNozzo	Anthony DiNozzo/NCIS	Anthony DiNozzo/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Anthony-DiNozzo-2000-464-341.pdf
9	Abby Sciuto	Abby Sciuto	Abby Sciuto/NCIS	Abby Sciuto/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Abby-Sciuto-2000-464-341.pdf
10	Donald Mallard	Donald Mallard	Donald Mallard/NCIS	Donald Mallard/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Donald-Mallard-2000-464-341.pdf
11	Timothy McGee	Timothy McGee	Timothy McGee/NCIS	Timothy McGee/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Timothy-McGee-2000-464-341.pdf
12	Jimmy Palmer	Jimmy Palmer	Jimmy Palmer/NCIS	Jimmy Palmer/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Jimmy-Palmer-2000-464-341.pdf
13	Wynonna Earp	Wynonna Earp	Wynonna Earp/Wynonna Earp	Wynonna Earp/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Wynonna-Earp-2000-464-341.pdf
14	Doc Holliday	Doc Holliday	Doc Holliday/Wynonna Earp	Doc Holliday/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Doc-Holliday-2000-464-341.pdf
15	Waverly Earp	Waverly Earp	Waverly Earp/Wynonna Earp	Waverly Earp/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Waverly-Earp-2000-464-341.pdf
16	Nicole Haught	Nicole Haught	Nicole Haught/Wynonna Earp	Nicole Haught/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Nicole-Haught-2000-464-341.pdf
17	Jeremy Chetri	Jeremy Chetri	Jeremy Chetri/Wynonna Earp	Jeremy Chetri/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Jeremy-Chetri-2000-464-341.pdf
18	Rick Grimes	Rick Grimes	Rick Grimes/The Walking Dead	Rick Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Rick-Grimes-2000-464-341.pdf
19	Shane Walsh	Shane Walsh	Shane Walsh/The Walking Dead	Shane Walsh/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Shane-Walsh-2000-464-341.pdf
20	Lori Grimes	Lori Grimes	Lori Grimes/The Walking Dead	Lori Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Lori-Grimes-2000-464-341.pdf
21	Andrea	Andrea	Andrea/The Walking Dead	Andrea/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Andrea-2000-464-341.pdf
22	Dale Horvath	Dale Horvath	Dale Horvath/The Walking Dead	Dale Horvath/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Dale-Horvath-2000-464-341.pdf
23	Glenn Rhee	Glenn Rhee	Glenn Rhee/The Walking Dead	Glenn Rhee/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Glenn-Rhee-2000-464-341.pdf
24	Carl Grimes	Carl Grimes	Carl Grimes/The Walking Dead	Carl Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Carl-Grimes-2000-464-341.pdf
25	Daryl Dixon	Daryl Dixon	Daryl Dixon/The Walking Dead	Daryl Dixon/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Daryl-Dixon-2000-464-341.pdf
26	Carol Peletier	Carol Peletier	Carol Peletier/The Walking Dead	Carol Peletier/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Carol-Peletier-2000-464-341.pdf
27	Merle Dixon	Merle Dixon	Merle Dixon/The Walking Dead	Merle Dixon/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Merle-Dixon-2000-464-341.pdf
28	Neal Caffrey	Neal Caffrey	Neal Caffrey/White Collar	Neal Caffrey/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Neal-Caffrey-2000-464-341.pdf
29	Peter Burke	Peter Burke	Peter Burke/White Collar	Peter Burke/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Peter-Burke-2000-464-341.pdf
30	Mozzie	Mozzie	Mozzie/White Collar	Mozzie/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Mozzie-2000-464-341.pdf
31	Elizabeth Burke	Elizabeth Burke	Elizabeth Burke/White Collar	Elizabeth Burke/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Elizabeth-Burke-2000-464-341.pdf
32	Clinton Jones	Clinton Jones	Clinton Jones/White Collar	Clinton Jones/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Clinton-Jones-2000-464-341.pdf
33	Diana Barrigan	Diana Barrigan	Diana Barrigan/White Collar	Diana Barrigan/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Diana-Barrigan-2000-464-341.pdf
34	Walter White	Walter White	Walter White/Breaking Bad	Walter White/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Walter-White-2000-464-341.pdf
35	Skyler White	Skyler White	Skyler White/Breaking Bad	Skyler White/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Skyler-White-2000-464-341.pdf
36	Jesse Pinkman	Jesse Pinkman	Jesse Pinkman/Breaking Bad	Jesse Pinkman/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Jesse-Pinkman-2000-464-341.pdf
37	Hank Schrader	Hank Schrader	Hank Schrader/Breaking Bad	Hank Schrader/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Hank-Schrader-2000-464-341.pdf
38	Marie Schrader	Marie Schrader	Marie Schrader/Breaking Bad	Marie Schrader/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Marie-Schrader-2000-464-341.pdf
39	Flynn White	Flynn White	Flynn White/Breaking Bad	Flynn White/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Flynn-White-2000-464-341.pdf
40	Saul Goodman	Saul Goodman	Saul Goodman/Breaking Bad	Saul Goodman/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Saul-Goodman-2000-464-341.pdf
41	Gus Fring	Gus Fring	Gus Fring/Breaking Bad	Gus Fring/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Gus-Fring-2000-464-341.pdf
42	Mike Ehrmantraut	Mike Ehrmantraut	Mike Ehrmantraut/Breaking Bad	Mike Ehrmantraut/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Mike-Ehrmantraut-2000-464-341.pdf
43	Jane Margolis	Jane Margolis	Jane Margolis/Breaking Bad	Jane Margolis/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Jane-Margolis-2000-464-341.pdf
44	John Bender	John Bender	John Bender/The Breakfast Club	John Bender/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-John-Bender-2000-464-341.pdf
45	Claire Standish	Claire Standish	Claire Standish/The Breakfast Club	Claire Standish/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Claire-Standish-2000-464-341.pdf
46	Andrew Clark	Andrew Clark	Andrew Clark/The Breakfast Club	Andrew Clark/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Andrew-Clark-2000-464-341.pdf
47	Brian Johnson	Brian Johnson	Brian Johnson/The Breakfast Club	Brian Johnson/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Brian-Johnson-2000-464-341.pdf
48	Allison Reynolds	Allison Reynolds	Allison Reynolds/The Breakfast Club	Allison Reynolds/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Allison-Reynolds-2000-464-341.pdf
49	Principal Vernon	Principal Vernon	Principal Vernon/The Breakfast Club	Principal Vernon/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Principal-Vernon-2000-464-341.pdf
50	Dorothy Gale	Dorothy Gale	Dorothy Gale/The Wizard of Oz	Dorothy Gale/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-Dorothy-Gale-2000-464-341.pdf
51	The Wizard of Oz	The Wizard of Oz	The Wizard of Oz/The Wizard of Oz	The Wizard of Oz/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Wizard-of-Oz-2000-464-341.pdf
