1	(500) Days of Summer	My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-2000-464-341.pdf
2	10 Things I Hate About You	NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-2000-464-341.pdf
3	30 Rock	Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-2000-464-341.pdf
4	8 Mile	The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-2000-464-341.pdf
5	A Nightmare on Elm Street	White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-2000-464-341.pdf
6	A Series of Unfortunate Events	Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-2000-464-341.pdf
7	A Star Is Born	The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-2000-464-341.pdf
8	A Tale of Two Cities	The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-2000-464-341.pdf
9	Adventures of Huckleberry Finn	This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-2000-464-341.pdf
10	After Life	Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-2000-464-341.pdf
11	Agents of S.H.I.E.L.D.	John Wick	https://compstorylab.org/archetypometrics/cards/John-Wick-2000-464-341.pdf
12	Aladdin	Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-2000-464-341.pdf
13	Alien	The Bourne Identity	https://compstorylab.org/archetypometrics/cards/The-Bourne-Identity-2000-464-341.pdf
14	American History X	Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-2000-464-341.pdf
15	American Sniper	The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-2000-464-341.pdf
16	Amélie	WandaVision	https://compstorylab.org/archetypometrics/cards/WandaVision-2000-464-341.pdf
17	Anna Karenina	Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-2000-464-341.pdf
18	Annie Hall	The Expanse	https://compstorylab.org/archetypometrics/cards/The-Expanse-2000-464-341.pdf
19	Arcane	Black Swan	https://compstorylab.org/archetypometrics/cards/Black-Swan-2000-464-341.pdf
20	Archer	Jane Eyre	https://compstorylab.org/archetypometrics/cards/Jane-Eyre-2000-464-341.pdf
21	Arrested Development	Band of Brothers	https://compstorylab.org/archetypometrics/cards/Band-of-Brothers-2000-464-341.pdf
22	Arrow	Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-2000-464-341.pdf
23	Atlas Shrugged	Singin' in the Rain	https://compstorylab.org/archetypometrics/cards/Singin-in-the-Rain-2000-464-341.pdf
24	Atomic Blonde	Schitt's Creek	https://compstorylab.org/archetypometrics/cards/Schitts-Creek-2000-464-341.pdf
25	Attack on Titan	Peaky Blinders	https://compstorylab.org/archetypometrics/cards/Peaky-Blinders-2000-464-341.pdf
26	Avatar: The Last Airbender	The Land Before Time	https://compstorylab.org/archetypometrics/cards/The-Land-Before-Time-2000-464-341.pdf
27	Baby Driver	Little Women	https://compstorylab.org/archetypometrics/cards/Little-Women-2000-464-341.pdf
28	Back to the Future	Star Wars: The Last Jedi	https://compstorylab.org/archetypometrics/cards/Star-Wars-The-Last-Jedi-2000-464-341.pdf
29	Bad Boys	Fifty Shades of Grey	https://compstorylab.org/archetypometrics/cards/Fifty-Shades-of-Grey-2000-464-341.pdf
30	Band of Brothers	Money Heist	https://compstorylab.org/archetypometrics/cards/Money-Heist-2000-464-341.pdf
31	Battlestar Galactica	High School Musical	https://compstorylab.org/archetypometrics/cards/High-School-Musical-2000-464-341.pdf
32	Baywatch	Riverdale	https://compstorylab.org/archetypometrics/cards/Riverdale-2000-464-341.pdf
33	Beauty and the Beast	Boston Legal	https://compstorylab.org/archetypometrics/cards/Boston-Legal-2000-464-341.pdf
34	Before Sunrise	Ratatouille	https://compstorylab.org/archetypometrics/cards/Ratatouille-2000-464-341.pdf
35	Beowulf	Lucifer	https://compstorylab.org/archetypometrics/cards/Lucifer-2000-464-341.pdf
36	Better Call Saul	Wheel of Time	https://compstorylab.org/archetypometrics/cards/Wheel-of-Time-2000-464-341.pdf
37	Black Swan	Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-2000-464-341.pdf
