index	differential	flipped differential	left pole	right pole	card url
1	playful :: serious	serious :: playful	playful	serious	https://compstorylab.org/archetypometrics/cards/playful--serious-2000-464-341.pdf
2	shy :: bold	bold :: shy	shy	bold	https://compstorylab.org/archetypometrics/cards/shy--bold-2000-464-341.pdf
3	cheery :: sorrowful	sorrowful :: cheery	cheery	sorrowful	https://compstorylab.org/archetypometrics/cards/cheery--sorrowful-2000-464-341.pdf
4	masculine :: feminine	feminine :: masculine	masculine	feminine	https://compstorylab.org/archetypometrics/cards/masculine--feminine-2000-464-341.pdf
5	charming :: awkward	awkward :: charming	charming	awkward	https://compstorylab.org/archetypometrics/cards/charming--awkward-2000-464-341.pdf
6	lewd :: tasteful	tasteful :: lewd	lewd	tasteful	https://compstorylab.org/archetypometrics/cards/lewd--tasteful-2000-464-341.pdf
7	intellectual :: physical	physical :: intellectual	intellectual	physical	https://compstorylab.org/archetypometrics/cards/intellectual--physical-2000-464-341.pdf
8	strict :: lenient	lenient :: strict	strict	lenient	https://compstorylab.org/archetypometrics/cards/strict--lenient-2000-464-341.pdf
9	refined :: rugged	rugged :: refined	refined	rugged	https://compstorylab.org/archetypometrics/cards/refined--rugged-2000-464-341.pdf
10	trusting :: suspicious	suspicious :: trusting	trusting	suspicious	https://compstorylab.org/archetypometrics/cards/trusting--suspicious-2000-464-341.pdf
11	innocent :: worldly	worldly :: innocent	innocent	worldly	https://compstorylab.org/archetypometrics/cards/innocent--worldly-2000-464-341.pdf
12	artistic :: scientific	scientific :: artistic	artistic	scientific	https://compstorylab.org/archetypometrics/cards/artistic--scientific-2000-464-341.pdf
13	stoic :: expressive	expressive :: stoic	stoic	expressive	https://compstorylab.org/archetypometrics/cards/stoic--expressive-2000-464-341.pdf
14	cunning :: honorable	honorable :: cunning	cunning	honorable	https://compstorylab.org/archetypometrics/cards/cunning--honorable-2000-464-341.pdf
15	orderly :: chaotic	chaotic :: orderly	orderly	chaotic	https://compstorylab.org/archetypometrics/cards/orderly--chaotic-2000-464-341.pdf
16	normal :: weird	weird :: normal	normal	weird	https://compstorylab.org/archetypometrics/cards/normal--weird-2000-464-341.pdf
17	competitive :: cooperative	cooperative :: competitive	competitive	cooperative	https://compstorylab.org/archetypometrics/cards/competitive--cooperative-2000-464-341.pdf
18	tense :: relaxed	relaxed :: tense	tense	relaxed	https://compstorylab.org/archetypometrics/cards/tense--relaxed-2000-464-341.pdf
19	brave :: careful	careful :: brave	brave	careful	https://compstorylab.org/archetypometrics/cards/brave--careful-2000-464-341.pdf
20	spiritual :: skeptical	skeptical :: spiritual	spiritual	skeptical	https://compstorylab.org/archetypometrics/cards/spiritual--skeptical-2000-464-341.pdf
21	unlucky :: fortunate	fortunate :: unlucky	unlucky	fortunate	https://compstorylab.org/archetypometrics/cards/unlucky--fortunate-2000-464-341.pdf
22	ferocious :: pacifist	pacifist :: ferocious	ferocious	pacifist	https://compstorylab.org/archetypometrics/cards/ferocious--pacifist-2000-464-341.pdf
23	modest :: flamboyant	flamboyant :: modest	modest	flamboyant	https://compstorylab.org/archetypometrics/cards/modest--flamboyant-2000-464-341.pdf
24	dominant :: submissive	submissive :: dominant	dominant	submissive	https://compstorylab.org/archetypometrics/cards/dominant--submissive-2000-464-341.pdf
25	forgiving :: vengeful	vengeful :: forgiving	forgiving	vengeful	https://compstorylab.org/archetypometrics/cards/forgiving--vengeful-2000-464-341.pdf
26	wise :: foolish	foolish :: wise	wise	foolish	https://compstorylab.org/archetypometrics/cards/wise--foolish-2000-464-341.pdf
27	impulsive :: cautious	cautious :: impulsive	impulsive	cautious	https://compstorylab.org/archetypometrics/cards/impulsive--cautious-2000-464-341.pdf
28	loyal :: traitorous	traitorous :: loyal	loyal	traitorous	https://compstorylab.org/archetypometrics/cards/loyal--traitorous-2000-464-341.pdf
29	creative :: conventional	conventional :: creative	creative	conventional	https://compstorylab.org/archetypometrics/cards/creative--conventional-2000-464-341.pdf
30	curious :: apathetic	apathetic :: curious	curious	apathetic	https://compstorylab.org/archetypometrics/cards/curious--apathetic-2000-464-341.pdf
31	rude :: respectful	respectful :: rude	rude	respectful	https://compstorylab.org/archetypometrics/cards/rude--respectful-2000-464-341.pdf
32	diligent :: lazy	lazy :: diligent	diligent	lazy	https://compstorylab.org/archetypometrics/cards/diligent--lazy-2000-464-341.pdf
33	lustful :: chaste	chaste :: lustful	lustful	chaste	https://compstorylab.org/archetypometrics/cards/lustful--chaste-2000-464-341.pdf
34	chatty :: reserved	reserved :: chatty	chatty	reserved	https://compstorylab.org/archetypometrics/cards/chatty--reserved-2000-464-341.pdf
35	emotional :: logical	logical :: emotional	emotional	logical	https://compstorylab.org/archetypometrics/cards/emotional--logical-2000-464-341.pdf
