character,story,archetype,Care,Fairness,Loyalty,Authority,Sanctity,Liberty,overall_morality
Applejack,Applejack/My Little Pony: Friendship Is Magic,Brute-Angel-Heroes,0.6448863845825995,0.6869540873620584,0.7242977242672032,0.17742383909860934,0.5559510783461362,0.14040636313631705,0.48831991279882064
Twilight Sparkle,Twilight Sparkle/My Little Pony: Friendship Is Magic,Diva-Angel-Heroes,0.5943799889276035,0.6497068551039007,0.7019561144890675,0.44914365902103187,0.5856122304861437,0.0245921432439877,0.5008984985452891
Rarity,Rarity/My Little Pony: Friendship Is Magic,Sophisticate-Diva-Heroes,0.3217974662280811,0.3329533975251402,0.4583865835658681,0.07644876617594935,0.25055414910339047,0.24128934227894971,0.2802382841462298
Pinkie Pie,Pinkie Pie/My Little Pony: Friendship Is Magic,Adventurers,0.4282081831213885,0.35652017037302,0.312627057715919,-0.27769698762611067,0.3522389056485404,0.07173392303525647,0.2072718753780023
Spike,Spike/My Little Pony: Friendship Is Magic,Outcast-Adventurer-Angels,0.44670630763048175,0.36257210931690137,0.4201760940725189,-0.0940597523389617,0.3664772908007625,-0.11560890919390525,0.23104385671463293
Princess Celestia,Princess Celestia/My Little Pony: Friendship Is Magic,Sophisticate-Angel-Heroes,0.607042101129996,0.6502583692915942,0.6230591033774016,0.46600967052432174,0.5907843908202753,0.044736577055193585,0.49698170203313047
Leroy Jethro Gibbs,Leroy Jethro Gibbs/NCIS,Heroes,0.2234854214391717,0.4233714966774045,0.5885123707520392,0.1582596909189222,0.1393185522656765,0.4231435262004418,0.32601517637560934
Anthony DiNozzo,Anthony DiNozzo/NCIS,Brute-Adventurer-Heroes,0.13921631806220486,0.12958330090928635,0.3312087613185672,-0.460810907395052,-0.07678708183483457,0.4756286787899762,0.08967317830835801
Abby Sciuto,Abby Sciuto/NCIS,Geek-Adventurer-Heroes,0.5072485305801838,0.582468623242767,0.551205543280885,-0.26494234353669804,0.372917615201233,0.40468245180299983,0.3589300700952284
Donald Mallard,Donald Mallard/NCIS,Angel-Heroes,0.6824321211847123,0.7501378301979502,0.7029139428666686,0.5016530893167171,0.6665347472637776,-0.0004150591701592725,0.5505427786099445
Timothy McGee,Timothy McGee/NCIS,Traditionalist-Angel-Heroes,0.7082740005277183,0.7095986153597942,0.6817128383032037,0.7303377361247619,0.7402098437960022,-0.34754211604001634,0.537098486345244
Jimmy Palmer,Jimmy Palmer/NCIS,Angels,0.7782997896697476,0.7316093822991625,0.6169494190254982,0.6887561619887907,0.8321869586623527,-0.44061435317070297,0.5345312264124749
