trait_index,differential,foundation,type,detail
2,shy :: bold,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
6,lewd :: tasteful,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
8,strict :: lenient,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
8,strict :: lenient,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
9,refined :: rugged,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
10,trusting :: suspicious,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
10,trusting :: suspicious,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
10,trusting :: suspicious,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
11,innocent :: worldly,purity,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
13,stoic :: expressive,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
14,cunning :: honorable,fairness,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
14,cunning :: honorable,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
14,cunning :: honorable,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
15,orderly :: chaotic,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
15,orderly :: chaotic,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
16,normal :: weird,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
18,tense :: relaxed,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
20,spiritual :: skeptical,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
21,unlucky :: fortunate,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
22,ferocious :: pacifist,care,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
22,ferocious :: pacifist,liberty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
23,modest :: flamboyant,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
23,modest :: flamboyant,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
23,modest :: flamboyant,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=0"
24,dominant :: submissive,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=1"
25,forgiving :: vengeful,fairness,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
