Character,Story,Care_k6,Fairness_k6,Loyalty_k6,Authority_k6,Sanctity_k6,Liberty_k6,Overall_k6,Care_k10,Fairness_k10,Loyalty_k10,Authority_k10,Sanctity_k10,Liberty_k10,Overall_k10,Care_k20,Fairness_k20,Loyalty_k20,Authority_k20,Sanctity_k20,Liberty_k20,Overall_k20,Care_k50,Fairness_k50,Loyalty_k50,Authority_k50,Sanctity_k50,Liberty_k50,Overall_k50,Care_k100,Fairness_k100,Loyalty_k100,Authority_k100,Sanctity_k100,Liberty_k100,Overall_k100,Care_k232,Fairness_k232,Loyalty_k232,Authority_k232,Sanctity_k232,Liberty_k232,Overall_k232,Care_Robust_Avg,Care_Stability_Std,Fairness_Robust_Avg,Fairness_Stability_Std,Loyalty_Robust_Avg,Loyalty_Stability_Std,Authority_Robust_Avg,Authority_Stability_Std,Sanctity_Robust_Avg,Sanctity_Stability_Std,Liberty_Robust_Avg,Liberty_Stability_Std,Robust_Avg
Applejack,Applejack/My Little Pony: Friendship Is Magic,0.7640498254139158,0.8142045769337324,0.8356770413829387,0.17712317231286948,0.6334101430257729,0.18552508225101888,0.5683316402200415,0.7031952276292885,0.7607296037421712,0.8203573611279915,0.183677086396787,0.6152007968097967,0.14364035278668671,0.5378000714154535,0.6672890410796545,0.7042717291521821,0.7449274648658929,0.17309880273095035,0.5778195711560681,0.1599610005350601,0.5045612682533013,0.6448863845825994,0.6869540873620585,0.7242977242672032,0.17742383909860934,0.5559510783461363,0.14040636313631716,0.4883199127988207,0.6359170865722149,0.674924891912238,0.7059510673142317,0.17387045995539635,0.548718425021797,0.1436556633994081,0.480506265695881,0.6232626385368983,0.6587714273104838,0.6883998539604251,0.171643797794813,0.535147758026972,0.14046285810287784,0.469614722288745,0.6731000339690952,0.052675801761246054,0.7166427194021444,0.05930579949184893,0.7532684188197806,0.06107019300595537,0.17613952638157093,0.004336774556001716,0.5777079620644238,0.03907322431658412,0.15227522003522814,0.017854321083515742,0.5081889801120405
Twilight Sparkle,Twilight Sparkle/My Little Pony: Friendship Is Magic,0.6448725248240348,0.7015762491063884,0.7600555400082343,0.4834077800040867,0.6062457281200769,0.042048273348317275,0.5397010159018564,0.6143902921068013,0.6814990975883178,0.7548327394349806,0.4746107890612153,0.6060144655454969,0.019619773207166756,0.5251611928239964,0.6108747982674353,0.6722433801928671,0.7355338891327038,0.4549415010600831,0.6082586730734916,0.029925634206395317,0.5186296459888293,0.5943799889276034,0.6497068551039006,0.7019561144890673,0.4491436590210316,0.5856122304861433,0.02459214324398762,0.5008984985452889,0.5855408822369293,0.6424049077305584,0.6919053367056405,0.44541070212040623,0.575651719888025,0.02482102033207471,0.49428909483560574,0.5731362834199477,0.6284871796065302,0.6751627617321464,0.43515085801072173,0.5617660070020224,0.025001542980449896,0.4831174387919697,0.6038657949637919,0.025343752222515142,0.6626529448880937,0.027228886495460427,0.7199077302504621,0.03516898206285454,0.45711088154625745,0.01835806803708993,0.590591470685876,0.019359498598459535,0.027668064553065263,0.00776323784662407,0.5102994811479243
Rarity,Rarity/My Little Pony: Friendship Is Magic,0.34729797322687594,0.3527701328678901,0.5104574612828693,0.08233706600351179,0.2541874470180273,0.27093006677024895,0.3029966911949039,0.342202258320077,0.34252558965487795,0.49048349527967905,0.07754484386455668,0.25215085573402013,0.27053770463923454,0.29590745791540757,0.33769892931537926,0.35107622605555655,0.4855740316632441,0.07409405185835653,0.26129000235510136,0.2646655306118455,0.29573312864324725,0.3217974662280811,0.3329533975251402,0.4583865835658683,0.0764487661759493,0.2505541491033905,0.24128934227894963,0.2802382841462298,0.31820429429893826,0.3293166241507462,0.4495589879682116,0.07405711250486632,0.24567373452238553,0.2408538316094445,0.27627743084243206,0.30935846278416707,0.3235388554449901,0.4399891594727555,0.07332041903602808,0.23953729960003256,0.23833268930197868,0.270679480939992,0.3294265640289198,0.015085813319084826,0.33869680428320015,0.011972519966828393,0.4724082865387713,0.027267152816406213,0.07630037657387813,0.0033702399600756203,0.2505655813888263,0.007432328116038658,0.254434860868617,0.015827753741604687,0.2869720789470354
Pinkie Pie,Pinkie Pie/My Little Pony: Friendship Is Magic,0.47568078406591097,0.37552053712646705,0.29645534184450584,-0.3251640940327362,0.35577105016269106,0.12222307717712057,0.2167477827239932,0.4448608746992392,0.3587571233858252,0.3125027399882869,-0.29652259669436337,0.36071921948870955,0.0899059487420867,0.21170388493496406,0.43983615999241477,0.3597252323379056,0.31761903167973954,-0.2889246053533952,0.35929307461134263,0.08140325013861766,0.21149202390110422,0.42820818312138875,0.3565201703730201,0.3126270577159191,-0.27769698762611084,0.35223890564854043,0.07173392303525628,0.2072718753780023,0.4217589456092602,0.3531724154278467,0.3057080623671903,-0.27028239090082157,0.3476564077623257,0.07052981419955502,0.20475720907755934,0.4128970565960082,0.3474860086817082,0.29763666753638257,-0.26839320287217816,0.34124317122876424,0.07480184067152947,0.20094525697370244,0.4372070006807038,0.022164479594644345,0.3585302478887955,0.009432617756136328,0.30709148352200405,0.008662429885557868,-0.28783064624660093,0.021255491433344865,0.3528203048170622,0.0074031125859443225,0.08509964232736095,0.01955443875145269,0.2088196721648876
Spike,Spike/My Little Pony: Friendship Is Magic,0.5256269570794723,0.40182718604857565,0.4465573043538213,-0.12031833356721855,0.4032861561743747,-0.10157335387861076,0.25923431936840247,0.4937771995645753,0.3904642736892899,0.43438450928498257,-0.12292453727788613,0.39670912632677585,-0.09981689513857406,0.24876561274152723,0.4719990865799094,0.3764792882904518,0.438415849411322,-0.10261699810905917,0.3884454966766831,-0.11517861441458056,0.24292401807245442,0.4467063076304819,0.3625721093169014,0.420176094072519,-0.0940597523389618,0.3664772908007627,-0.1156089091939053,0.231043856714633,0.43222494479303836,0.3540356795958724,0.406753444679323,-0.09138951568910232,0.3535775570051079,-0.10632077920652858,0.22481355519628513,0.4151052599292226,0.3380953186526362,0.3875981519360139,-0.08543984575921183,0.33821308228753555,-0.10891227344347658,0.21410994893378663,0.4642399592627833,0.04110383167534542,0.3705789759322879,0.023662915903214947,0.422314225622997,0.022111518197512777,-0.10279149712357331,0.015619782995736456,0.37445145154520665,0.025827131843005655,-0.10790180421261264,0.006652625953860873,0.23681521850451484
Princess Celestia,Princess Celestia/My Little Pony: Friendship Is Magic,0.6419909310363034,0.6958834383350112,0.6567085749347135,0.4792164225289407,0.6296241190718367,0.06249361355197911,0.5276528499097973,0.6211355343058136,0.6676442669565894,0.648907467424624,0.4850878167608618,0.6091965202847305,0.051954738564561544,0.5139877240495301,0.618916303548871,0.6688510396734233,0.6444196037433058,0.4690096181859021,0.6079065308476345,0.04953758394016505,0.5097734466565503,0.6070421011299956,0.650258369291594,0.6230591033774014,0.4660096705243216,0.5907843908202751,0.04473657705519356,0.4969817020331302,0.5984037292635677,0.6446014229432719,0.613610730030504,0.4618651664612779,0.5835394389397847,0.0419866468822752,0.49066785575344696,0.5880659504942699,0.633487792506705,0.6012164783364755,0.4537540444332201,0.5738938752645353,0.04029612986723685,0.4817857118170738,0.6125924249631368,0.019031139992768387,0.6601210549510992,0.022177563580961897,0.6313203263078373,0.021970803524808014,0.46915712314908736,0.011448425087924987,0.5991574792047994,0.020287069133349402,0.048500881643568555,0.008157494968599521,0.5034748817032547
Leroy Jethro Gibbs,Leroy Jethro Gibbs/NCIS,0.232347338551202,0.437599711032921,0.6160885599533886,0.17118055146915825,0.1363658907954498,0.44422002932406524,0.3396336801876975,0.2319178952982327,0.431692905828387,0.6099493047928789,0.17328035497215802,0.13005625019962064,0.4408810381105786,0.3362962915336427,0.2221150698370016,0.4246801680697708,0.593609540535537,0.16817460006385426,0.13839292218009286,0.42689623201457655,0.3289780887834722,0.22348542143917166,0.42337149667740476,0.5885123707520394,0.15825969091892222,0.1393185522656765,0.4231435262004417,0.3260151763756094,0.2218620363873293,0.4206973446670083,0.5799762347036945,0.1581944970014487,0.1361182131875906,0.4122622777900875,0.3215184339561932,0.21909308371739744,0.4145947581356447,0.568944874889009,0.15422862809333532,0.13595032346584585,0.40551571615768545,0.31638789740981965,0.22513680753838913,0.005605062126227468,0.42543939740185605,0.008147705232588766,0.5928468142710912,0.017826932439475807,0.16388638708647948,0.00796454478912332,0.13603369201571272,0.0032314249076201887,0.4254864699329059,0.01529134431945196,0.32813826137440577
Anthony DiNozzo,Anthony DiNozzo/NCIS,0.1328107604417401,0.12467625508440888,0.3544360496426601,-0.5151124988887914,-0.07790904686294987,0.5451341577594233,0.09400594619608184,0.13760259550359255,0.12731429961063986,0.329391569207515,-0.4980765160106647,-0.092932571331511,0.5307409257382131,0.0890067171196308,0.1343758869207645,0.1334234637842483,0.3365181865372736,-0.46582279987694886,-0.081889970022731,0.478390967019285,0.08916595572698194,0.1392163180622049,0.12958330090928633,0.331208761318567,-0.4608109073950518,-0.07678708183483463,0.4756286787899761,0.08967317830835797,0.13776452369101447,0.12741760848446496,0.32575635871429287,-0.44942846159305877,-0.07851965689974405,0.4572986090980627,0.08671483024917204,0.13663107900376062,0.12340279291089612,0.31746502482923894,-0.4365969836388131,-0.07851006612200571,0.4443473895246164,0.08445653941794888,0.13640019393717953,0.002377935235473064,0.12763628679732406,0.003581006439842177,0.33246265837492456,0.01249147346065779,-0.47097469456722146,0.02986156810522984,-0.08109139884562938,0.006046200891512871,0.488590121321596,0.040453722114851404,0.08883719450302889
Abby Sciuto,Abby Sciuto/NCIS,0.5687590324973824,0.6381142437514937,0.5799174549051009,-0.3279862757094949,0.4056280600605879,0.5266570722633973,0.3985149312947445,0.5356711065164083,0.6143253757298954,0.5804135894396836,-0.30469789510178563,0.40291540118939284,0.47994177234510305,0.38476155835311626,0.5187178813339887,0.5988207385702595,0.5743223189129042,-0.27850941286360864,0.37958291621913576,0.41429101370512134,0.3678709093129668,0.5072485305801837,0.5824686232427672,0.551205543280885,-0.2649423435366981,0.37291761520123307,0.40468245180299983,0.3589300700952284,0.5007153198976029,0.5741886310704386,0.5336963028618367,-0.26036598604377037,0.36672762524825503,0.4005667461234518,0.3525881065263024,0.49324040223193877,0.560895288830468,0.5228617197035288,-0.25524184506768205,0.3579685739787675,0.3926755953694974,0.34539995584108646,0.5207253788429175,0.027828361585739658,0.5948021501992203,0.028284098505825965,0.5570694881839898,0.024961970600210406,-0.28195729305383993,0.028695289892938455,0.380956698649562,0.019433451765969657,0.4364691086015951,0.05428232153990699,0.36801092190390755
Donald Mallard,Donald Mallard/NCIS,0.7640213390264149,0.8405102803333147,0.7686635935752408,0.5453222653837264,0.7508099902276048,0.012264152492374893,0.6135986035064459,0.7075008363695579,0.7722449277918094,0.7449322866611104,0.526654011157133,0.6853981500461903,-0.0009484483223038809,0.5726302939505828,0.6974372467251381,0.7603319897679582,0.7369859043070183,0.5224274492570802,0.6771459039548196,-0.011735374985668052,0.5637655198377244,0.6824321211847125,0.7501378301979502,0.7029139428666685,0.5016530893167171,0.6665347472637775,-0.0004150591701592717,0.5505427786099445,0.6746908365213135,0.7395103949187164,0.6936726756172634,0.4982465095166523,0.6564391211494557,-0.0010616007323661788,0.5435829894985059,0.6651883369456031,0.7268050959820588,0.6779176896091101,0.4896388106128093,0.6451693204484911,0.0002222532896246524,0.5341569178146162,0.6985451194621234,0.035524352333916716,0.7649234198319679,0.040262889361004466,0.7208476821060685,0.03472738406091076,0.5139903558740196,0.02100626508567176,0.6802495388483898,0.037418100614138396,-0.0002790129047496397,0.007614585926744691,0.5630461838696367
