index	differential	flipped differential	care	fairness	loyalty	authority	sanctity	liberty		
1	playful :: serious	serious :: playful	0	0	0	0	0	0		
2	shy :: bold	bold :: shy	0	0	0	0	0	0		
3	cheery :: sorrowful	sorrowful :: cheery	0	0	0	0	0	0		
4	masculine :: feminine	feminine :: masculine	0	0	0	0	0	0		
5	charming :: awkward	awkward :: charming	0	0	0	0	0	0		
6	lewd :: tasteful	tasteful :: lewd	0	0	0	0	0	0		
7	intellectual :: physical	physical :: intellectual	0	0	0	0	0	0		
8	strict :: lenient	lenient :: strict	1	0	0	1	0	0		
9	refined :: rugged	rugged :: refined	0	0	0	0	0	0		
10	trusting :: suspicious	suspicious :: trusting	0	1	1	0	1	0		
11	innocent :: worldly	worldly :: innocent	0	0	0	0	1	0		
12	artistic :: scientific	scientific :: artistic	0	0	0	0	0	0		
13	stoic :: expressive	expressive :: stoic	0	0	0	0	0	0		
14	cunning :: honorable	honorable :: cunning	0	1	1	0	0	0		
15	orderly :: chaotic	chaotic :: orderly	0	0	0	0	0	0		
16	normal :: weird	weird :: normal	0	0	0	0	0	0		
17	competitive :: cooperative	cooperative :: competitive	0	1	1	0	0	0		
18	tense :: relaxed	relaxed :: tense	0	0	0	0	0	0		
19	brave :: careful	careful :: brave	0	0	0	0	0	0		
20	spiritual :: skeptical	skeptical :: spiritual	0	0	0	0	1	0		
21	unlucky :: fortunate	fortunate :: unlucky	0	0	0	0	0	0		
22	ferocious :: pacifist	pacifist :: ferocious	1	0	0	0	0	0		
23	modest :: flamboyant	flamboyant :: modest	0	0	0	1	0	1		
24	dominant :: submissive	submissive :: dominant	0	0	0	0	0	0		
25	forgiving :: vengeful	vengeful :: forgiving	1	0	0	0	0	0		right pole - vice of care 
26	wise :: foolish	foolish :: wise	0	0	0	0	0	0		
27	impulsive :: cautious	cautious :: impulsive	0	0	0	0	0	0		
28	loyal :: traitorous	traitorous :: loyal	0	0	1	0	0	0		
29	creative :: conventional	conventional :: creative	0	0	0	1	0	1		
30	curious :: apathetic	apathetic :: curious	1	0	0	0	0	0		
31	rude :: respectful	respectful :: rude	1	0	0	1	0	0		
32	diligent :: lazy	lazy :: diligent	0	0	0	0	0	0		
33	lustful :: chaste	chaste :: lustful	0	0	0	0	1	0		
34	chatty :: reserved	reserved :: chatty	0	0	0	0	0	0		
35	emotional :: logical	logical :: emotional	0	0	0	0	0	0		
36	moody :: stable	stable :: moody	0	0	0	0	0	0		
37	dunce :: genius	genius :: dunce	0	0	0	0	0	0		
38	arrogant :: humble	humble :: arrogant	0	0	0	1	1	0		
39	heroic :: villainous	villainous :: heroic	1	1	0	0	0	0		right pole - vice of care
40	attractive :: repulsive	repulsive :: attractive	0	0	0	0	1	0		
41	rational :: whimsical	whimsical :: rational	0	0	0	0	0	0		
42	mischievous :: well behaved	well behaved :: mischievous	0	1	1	1	0	0		
43	aloof :: obsessed	obsessed :: aloof	0	0	0	0	0	0		
44	indulgent :: sober	sober :: indulgent	0	0	0	0	1	0		
45	kinky :: vanilla	vanilla :: kinky	0	0	0	0	0	0		
46	straightforward :: cryptic	cryptic :: straightforward	0	0	0	0	0	0		
47	spontaneous :: deliberate	deliberate :: spontaneous	0	0	0	1	0	1		
48	libertarian :: socialist	socialist :: libertarian	0	1	0	1	0	1		
49	scheduled :: spontaneous	spontaneous :: scheduled	0	0	0	0	0	0		
50	works hard :: plays hard	plays hard :: works hard	0	0	0	0	0	0		
51	reasoned :: instinctual	instinctual :: reasoned	0	0	0	0	0	0		
52	focused on the present :: focused on the future	focused on the future :: focused on the present	0	0	0	0	0	0		
53	empirical :: theoretical	theoretical :: empirical	0	0	0	0	0	0		
54	open :: guarded	guarded :: open	0	0	0	0	0	0		
55	methodical :: astonishing	astonishing :: methodical	0	0	0	0	0	0		
56	mighty :: puny	puny :: mighty	0	0	0	0	1	0		
57	bossy :: meek	meek :: bossy	0	0	0	1	0	1		
58	barbaric :: civilized	civilized :: barbaric	0	0	0	1	1	0		
59	gregarious :: private	private :: gregarious	0	0	0	0	0	0		
60	quiet :: loud	loud :: quiet	0	0	0	0	0	0		
61	political :: nonpolitical	nonpolitical :: political	0	0	0	0	0	0		
62	confident :: insecure	insecure :: confident	0	0	0	0	0	0		
63	democratic :: authoritarian	authoritarian :: democratic	0	1	0	1	0	1		
64	debased :: pure	pure :: debased	0	0	0	0	1	0		
65	fast :: slow	slow :: fast	0	0	0	0	0	0		
66	frugal :: lavish	lavish :: frugal	0	0	0	0	0	0		
67	ludicrous :: sensible	sensible :: ludicrous	0	0	0	0	0	0		
68	orange :: purple	purple :: orange	0	0	0	0	0	0		
69	tall :: short	short :: tall	0	0	0	0	0	0		
